調査年,知事評価,イデオロギー,会派
2018,3,6,無所属
2018,9,6,都民
2018,6,7,都民
2018,2,8,自民
2018,10,8,都民
2018,8,5,公明
2018,8,6,公明
2018,9,5,都民
2018,6,5,無所属
2018,8,7,都民
2018,8,6,都民
2018,10,5,都民
2018,7,5,公明
2018,8,5,公明
2018,2,7,自民
2018,8,5,公明
2018,6,3,無所属
2018,9,7,都民
2018,10,4,都民
2018,8,5,公明
2018,9,5,都民
2018,6,5,公明
2018,1,5,共産
2018,7,3,都民
2018,6,6,公明
2018,6,2,共産
2018,3,1,共産
2018,4,1,共産
2018,2,0,共産
2018,2,0,共産
2018,5,1,共産
2018,8,6,公明
2018,7,5,都民
2018,7,5,公明
2018,9,6,都民
2018,9,2,都民
2018,8,9,都民
2018,5,0,共産
2018,3,0,共産
2018,7,5,公明
2018,9,5,都民
2018,3,0,共産
2018,8,6,公明
2018,2,0,共産
2018,10,8,都民
2018,7,5,都民
2019,9,6,都民
2019,8,3,都民
2019,9,8,都民
2019,6,5,ミライ
2019,10,5,都民
2019,8,5,
2019,8,5,公明
2019,7,5,ミライ
2019,10,8,都民
2019,5,0,共産
2019,10,6,都民
2019,10,5,都民
2019,10,5,都民
2019,3,8,立憲
2019,8,6,都民
2019,6,3,無所属
2019,7,6,都民
2019,9,5,都民
2019,5,2,共産
2019,9,6,都民
2019,3,0,共産
2019,9,9,都民
2019,3,1,共産
2019,8,5,
2019,5,5,自民
2019,2,5,共産
2019,9,6,公明
2019,5,1,共産
2019,2,7,自民
2019,3,0,共産
2019,8,5,公明
2019,3,0,共産
2019,7,5,ミライ
2019,3,2,共産
2019,8,5,公明
2019,5,3,立憲
2019,10,3,都民
2019,9,5,公明
2019,8,4,都民
2019,6,8,自民
2019,9,4,都民
2019,5,,共産
2019,10,5,都民
2019,1,8,自民
2019,9,,都民
2019,0,3,共産
2019,9,10,都民
2019,2,3,
2019,2,3,共産
2019,1,4,共産
2020,9,6,都民
2020,5,6,無所属
2020,2,9,無所属
2020,8,6,公明
2020,8,6,都民
2020,8,5,都民
2020,8,4,都民
2020,3,2,共産
2020,5,8,自民
2020,3,2,共産
2020,10,5,都民
2020,6,6,自民
2020,3,1,共産
2020,9,6,都民
2020,2,0,共産
2020,10,5,都民
2020,10,4,都民
2020,6,5,無所属
2020,3,2,立憲
2020,10,3,都民
2020,8,7,都民
2020,7,5,無所属
2020,8,6,公明
2020,8,4,都民
2020,9,5,公明
2020,9,5,都民
2020,5,8,立憲
2020,8,7,都民
2020,5,3,無所属
2020,10,7,都民
2020,7,7,都民
2020,2,1,共産
2020,10,8,都民
2020,9,6,都民
2020,2,0,共産
2020,9,5,都民
2020,8,6,公明
2020,2,0,共産
2020,7,8,都民
2020,8,4,自民
2020,9,8,都民
2020,7,7,
2021,4,4,立憲
2021,10,1,共産
2021,0,5,共産
2021,3,5,立憲
2021,8,5,都民
2021,0,8,無所属
2021,5,3,無所属
2021,8,6,公明
2021,9,6,都民
2021,7,6,無所属
2021,3,3,立憲
2021,8,4,都民
2021,8,7,都民
2021,5,3,立憲
2021,8,6,無所属
2021,10,7,都民
